162;Maria Fernanda Calmon;Avenida Abílio Pereira de Almeida, 6271, Santa Cruz do Sul, RS;(51) 248-4936
163;Sophie de Almeida;Avenida Academia de São Paulo, 4030, Santa Cruz do Sul, RS;(51) 357-8830
164;Mathias de Souza;Avenida Adelina Abranches, 4158, Santa Cruz do Sul, RS;(51) 438-1266
165;Joaquim de Souza;Avenida Adelino Jorge Montenegro, 7947, Santa Cruz do Sul, RS;(51) 309-4740
166;Maria Laura Della Coletta;Avenida Adhemar Gonzaga, 6147, Santa Cruz do Sul, RS;(51) 614-3971
167;Mariah Caliman;Avenida Adolfo Coelho, 8807, Santa Cruz do Sul, RS;(51) 343-7637
168;Yago da Costa;Avenida Adolfo Pinheiro, 5607, Santa Cruz do Sul, RS;(51) 262-1990
169;Thomas Sossai detto Pegorer;Avenida Adriano Bertozzi, 7030, Santa Cruz do Sul, RS;(51) 258-2443
170;Maria Isis Braga;Avenida Adutora do Rio Claro, 7745, Santa Cruz do Sul, RS;(51) 694-7482
171;Bernardo Braga;Avenida Adélia Chohfi, 3934, Santa Cruz do Sul, RS;(51) 435-9839
172;Luan Caliman;Avenida Affonso D'Escragnolle Taunay, 8365, Santa Cruz do Sul, RS;(51) 411-2234
173;Leticia Zanette;Avenida Afonso Lopes de Baião, 9576, Santa Cruz do Sul, RS;(51) 499-1924
174;Lucas Pereira;Avenida Afonso Mariano Fagundes, 4466, Santa Cruz do Sul, RS;(51) 372-1538
175;Leonardo Sossai;Avenida Afonso de Sampaio e Sousa, 7687, Santa Maria, RS;(51) 680-5396
176;Yuri Altoe;Avenida Afrânio Peixoto, 9518, Santa Maria, RS;(51) 612-9063
177;Luan de Oliveira;Avenida Agami, 4745, Santa Maria, RS;(51) 238-1556
178;Ana Julia Falqueto;Avenida Agenor Couto de Magalhães, 8536, Santa Maria, RS;(51) 503-8173
179;Maria Sophia Zampirolli;Avenida Agenor de Oliveira, 6946, Santa Maria, RS;(51) 584-6579
180;Isabel Calmon;Avenida Agostinho Rubin, 4254, Santa Maria, RS;(51) 616-3310
181;Eduarda De Angeli;Avenida Aguiar da Beira, 3578, Santa Maria, RS;(51) 366-2657
182;Caio Zampirolli;Avenida Airton Pretini, 3579, Santa Maria, RS;(51) 606-6018
183;Gabrielly Zandonadi;Avenida Ajarani, 2530, Santa Maria, RS;(51) 619-4733
184;Kaue Zanette;Avenida Albert Bartholome, 9484, Santa Maria, RS;(51) 349-3871
185;Isis da Silva;Avenida Albert Einstein, 3981, Santa Maria, RS;(51) 416-4843
186;Bernardo de Almeida;Avenida Alberto Augusto Alves, 3088, Santa Maria, RS;(51) 331-2091
187;Joao Miguel Tosi;Avenida Alberto Byington, 940, Santa Maria, RS;(51) 544-9383
188;Luiz Henrique Agrizzi;Avenida Alberto Camus, 5942, Santa Maria, RS;(51) 332-6383
189;Pietra Agrizzi;Avenida Alberto Fontana, 2574, Santa Maria, RS;(51) 312-2489
190;Larissa Alves;Avenida Alberto Ramos, 2447, Santa Maria, RS;(51) 343-6412
191;Maite Caliman;Avenida Alberto Vicente Cardoso, 6800, Santa Maria, RS;(51) 201-1151
192;Allana De Angeli;Avenida Alberto de Faria Cardoso, 9837, Santa Maria, RS;(51) 510-6923
193;Maya Caliman;Avenida Alcides Sangirardi, 6508, Santa Maria, RS;(51) 481-1417
194;Aurora Sossai;Avenida Alcindo Ferreira, 3356, Santa Maria, RS;(51) 258-4785
195;Natalia Falqueto;Avenida Alcântara Machado, 9414, Santa Maria, RS;(51) 556-4469
196;Alice Falqueto;Avenida Alda, 163, Santa Maria, RS;(51) 318-8020
197;Maria Helena Altoe;Avenida Aldeia Manuel Antônio, 6834, Santa Maria, RS;(51) 235-6787
198;Lucas Braga;Avenida Aldo João Rinaldi, 2758, Santa Maria, RS;(51) 536-7059
199;Fernanda Zanette;Avenida Aldo Ribeiro Luz, 3446, Santa Maria, RS;(51) 552-6242
200;Catarina Zandonadi;Avenida Alexandre Colares, 7866, Santa Maria, RS;(51) 561-3901
201;Luiz Felipe Salvador;1ª Travessa Edalberto dos Santos, 3743, Venâncio Aires, RS;(51) 669-9936
202;Enzo Silva;2ª Travessa Edalberto dos Santos, 3416, Venâncio Aires, RS;(51) 670-4153
203;Natalia Zampirolli;3ª Travessa Edalberto dos Santos, 4619, Venâncio Aires, RS;(51) 646-6165
204;Maite da Silva;3ª Travessa Maria Mayer, 1270, Venâncio Aires, RS;(51) 272-7121
205;Luana Botteon;Acampamento Acaricuara, 7160, Venâncio Aires, RS;(51) 482-9271
206;Antonio Falqueto;Acesso Andorinha Cristal, 3640, Venâncio Aires, RS;(51) 422-1947
207;Marina Caliman;Acesso Anum-Preto, 6587, Venâncio Aires, RS;(51) 219-5543
208;Anthony de Souza;Acesso Araponga Martelo, 6804, Venâncio Aires, RS;(51) 249-8096
209;Enrico Caliman;Acesso Arara Azul, 6500, Venâncio Aires, RS;(51) 404-2241
210;Maria Flor Ferreira;Acesso Bem-te-vi Amarelo, 9762, Venâncio Aires, RS;(51) 260-2631
211;Yuri Gomes;Acesso Canário Belga, 9827, Venâncio Aires, RS;(51) 585-0611
212;Maria Helena Fernandes;Acesso Coan do Brejo, 2468, Venâncio Aires, RS;(51) 262-0301
213;Francisco Falqueto;Acesso Curió Cristal, 1878, Venâncio Aires, RS;(51) 587-2520
214;Sarah Salvador;Acesso Gaivota Cinza, 1936, Venâncio Aires, RS;(51) 636-4709
215;Otavio Gomes;Acesso Garça Branca, 5385, Venâncio Aires, RS;(51) 309-4937
216;Enzo Ferreira;Acesso Gavião Real, 5798, Venâncio Aires, RS;(51) 383-5935
217;Emanuelly Caliman;Acesso Juriti Marrom, 1124, Venâncio Aires, RS;(51) 270-5221
218;Theo Costalonga;Acesso Pardal Cinza, 5880, Venâncio Aires, RS;(51) 255-6304
219;Bento da Costa;Acesso Pavão Real, 9803, Venâncio Aires, RS;(51) 354-3063
220;Olivia da Costa;Acesso Pintassilgo Rosa, 3650, Venâncio Aires, RS;(51) 536-0901
221;Louise Della Coletta;Acesso Pixoxó da Serra, 3461, Venâncio Aires, RS;(51) 456-0640
222;Maria Luiza Botteon;Acesso Sabiá Laranjeira, 8374, Venâncio Aires, RS;(51) 317-7638
223;Leonardo da Costa;Acesso Tucano Preto, 4344, Venâncio Aires, RS;(51) 313-9733
224;Gustavo Botteon;Acesso Uirapuru do Sertão, 3334, Venâncio Aires, RS;(51) 587-8118
225;Alicia Calmon;Rua Afonso Bocchiglieri, 5013, Venâncio Aires, RS;(51) 454-1285
226;Andre de Souza;Rua Afonso Schmidt, 6140, Venâncio Aires, RS;(51) 278-3580
227;Kaue Pesca;Rua Agenor Couto Magalhães, 2063, Venâncio Aires, RS;(51) 221-6330
228;Maria Julia Falqueto;Rua Aristotenes Cláudio Sbrigh, 7953, Venâncio Aires, RS;(51) 620-5480
229;Isaac de Almeida;Rua Barros, 1395, Venâncio Aires, RS;(51) 264-9554
230;Joaquim Caliman;Rua Barão de Limeira, 9640, Venâncio Aires, RS;(51) 206-6464
231;Gabrielly da Costa;Rua Barão de Piracicaba, 4306, Venâncio Aires, RS;(51) 535-9046
232;Yago Ferreira;Rua Calcutá, 3553, Venâncio Aires, RS;(51) 571-7772
233;Raul De Angeli;Rua Calicut, 7003, Venâncio Aires, RS;(51) 453-7188
234;Isadora Agrizzi;Rua Campinas, 8321, Venâncio Aires, RS;(51) 537-0591
235;Isis Sossai detto Pegorer;Rua Canuri, 1224, Venâncio Aires, RS;(51) 351-3534
236;Rebeca Calmon;Rua Carlos Marchais, 9334, Venâncio Aires, RS;(51) 615-7451
237;Theo Salvador;Rua Casa Branca, 663, Venâncio Aires, RS;(51) 492-3287
238;Henry Zampirolli;Rua Caviunas, 2563, Venâncio Aires, RS;(51) 679-9370
239;Davi Miguel Salvador;Rua Cleveland, 2730, Venâncio Aires, RS;(51) 610-9489
240;Rafaela Altoe;Rua Coqueiros, 6070, Venâncio Aires, RS;(51) 298-3607
241;Beatriz Caliman;Rua Cravos, 5156, Venâncio Aires, RS;(51) 619-2792
242;Gabriela Zandonadi;Rua Dino Bueno, 5325, Venâncio Aires, RS;(51) 439-5116
243;Olivia Gomes;Rua Doutor Sílvio de Campos, 5527, Venâncio Aires, RS;(51) 520-7930
244;Valentina de Souza;Rua Eduardo Prado, 4000, Venâncio Aires, RS;(51) 496-8258
245;Giovanna Sossai;Rua Fernão Cardim, 3917, Venâncio Aires, RS;(51) 556-5899
246;Lorenzo Fernandes;Rua Franca, 6233, Venâncio Aires, RS;(51) 421-0389
247;Isabel de Oliveira;Rua Gabriel Monteiro da Silva, 6615, Venâncio Aires, RS;(51) 473-3363
248;Lorena Caliman;Rua Glete, 4416, Venâncio Aires, RS;(51) 386-9728
249;Lucas Gabriel Agrizzi;Rua Guaicanãs dos, 6369, Venâncio Aires, RS;(51) 662-5953
250;Enzo Miguel Braga;Rua Guairacá, 7968, Venâncio Aires, RS;(51) 395-5304
251;Emanuel Ferreira;Rua Guilherme Renato Sabrigh, 2678, Venâncio Aires, RS;(51) 560-8889
252;Sophie Sossai;Rua Ibiracemas, 4707, Venâncio Aires, RS;(51) 399-7472
253;Maria Eduarda Calmon;Rua Iraé, 8337, Venâncio Aires, RS;(51) 622-7250
254;Daniel Pereira;Rua Itu, 7062, Venâncio Aires, RS;(51) 491-5206
255;Aurora Falqueto;Rua Itupiranga, 7672, Venâncio Aires, RS;(51) 487-7441
256;Felipe Sossai detto Pegorer;Rua Jacarandas, 277, Venâncio Aires, RS;(51) 365-0115
257;Bianca Sossai;Rua Jauaperi, 1484, Venâncio Aires, RS;(51) 486-8481
258;Lorena Ferreira;Rua Jaú, 1098, Venâncio Aires, RS;(51) 321-6758
259;Breno Zanette;Rua Jequitibas, 4657, Venâncio Aires, RS;(51) 648-5389
260;Luiz Gustavo Falqueto;Rua Joaquim Eugênio de Lima, 1579, Venâncio Aires, RS;(51) 251-5858
261;Bryan Pereira;Rua Joaquim José de Mattos, 8046, Venâncio Aires, RS;(51) 616-9611
262;Isis Gomes;Rua José Lopes de Almeida, 9230, Venâncio Aires, RS;(51) 390-8024
263;Isaac Zandonadi;Rua Lorena, 469, Venâncio Aires, RS;(51) 545-7293
264;Antonella Calmon;Rua Macieira da Maia, 1403, Venâncio Aires, RS;(51) 311-8947
265;Luiza de Almeida;Rua Maruás, 2717, Venâncio Aires, RS;(51) 202-4138
266;Joao Pedro Falqueto;Rua Messina, 1330, Venâncio Aires, RS;(51) 389-1966
267;Ana Beatriz Falqueto;Rua Ministro Rocha Azevedo, 6038, Venâncio Aires, RS;(51) 374-7704
268;Felipe Zandonadi;Rua Mognos, 8213, Venâncio Aires, RS;(51) 418-5235
269;Benjamin Botteon;Rua Nice, 4187, Venâncio Aires, RS;(51) 285-4874
270;Thomas Braga;Rua Nothmann, 7146, Venâncio Aires, RS;(51) 314-0897
271;Eloah de Almeida;Rua Olga, 6457, Venâncio Aires, RS;(51) 658-4134
272;Carlos Eduardo Pereira;Rua Paineiras, 4168, Venâncio Aires, RS;(51) 376-8308
273;Ana Livia Pesca;Rua Primeiro-Sargento Basílio Nogueira da Costa, 1240, Venâncio Aires, RS;(51) 413-2654
274;Giulia Gomes;Rua Primeiro-Sargento Osmar Cortez Claro, 3028, Venâncio Aires, RS;(51) 400-6279
275;Nathan Tosi;Rua Rainha Santa, 2053, Venâncio Aires, RS;(51) 619-4266
276;Vicente Sossai detto Pegorer;Rua Raja Gabaglia, 1856, Venâncio Aires, RS;(51) 270-5687
277;Ricardo Fernandes;Rua Ribeiro da Silva, 4148, Venâncio Aires, RS;(51) 256-2746
278;Luiz Gustavo Fernandes;Rua Ribeirão Preto, 4691, Venâncio Aires, RS;(51) 691-2608
279;Heitor De Angeli;Rua Rio Claro, 3111, Venâncio Aires, RS;(51) 699-1360
280;Davi Luiz Della Coletta;Rua Rodrigo de Brum, 1710, Venâncio Aires, RS;(51) 698-6572
